match_id,game_date,team_name,team_id,home_team_id,away_team_id,home_team_won,home_team_score,away_team_score,clock,seconds,player,play_id,key_play_id,playtype_id,events,goal_scored,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y
704279,2024-08-16 19:00:00,Fulham,370,360,370,True,1,0,60',3541,Adama Traoré,43557160,,66,Adama Traoré Foul,,0.932,0.698,0.0,0.0
704279,2024-08-16 19:00:00,Manchester United,360,360,370,True,1,0,61',3605,Joshua Zirkzee,43557161,43557161,76,Joshua Zirkzee Substitution,0,0.0,0.0,0.0,0.0
704279,2024-08-16 19:00:00,Manchester United,360,360,370,True,1,0,62',3690,André Onana,43557186,,95,André Onana Corner Kick,,0.148,0.498,0.0,0.0
704279,2024-08-16 19:00:00,Manchester United,360,360,370,True,1,0,63',3727,Casemiro,43557187,,95,Casemiro Corner Kick,,0.04,0.425,0.0,0.0
704279,2024-08-16 19:00:00,Fulham,370,360,370,True,1,0,64',3798,Emile Smith Rowe,43557202,43557202,76,Tom Cairney Substitution,0,0.0,0.0,0.0,0.0
704279,2024-08-16 19:00:00,Manchester United,360,360,370,True,1,0,66',3904,Bruno Fernandes,43557258,,135,Bruno Fernandes Shot Blocked,,0.448,0.51,0.384,0.509
704279,2024-08-16 19:00:00,Manchester United,360,360,370,True,1,0,67',4004,Kobbie Mainoo,43557263,,66,Kobbie Mainoo Foul,,0.692,0.834,0.0,0.0
704279,2024-08-16 19:00:00,Manchester United,360,360,370,True,1,0,68',4073,Diogo Dalot,43557265,,95,Diogo Dalot Corner Kick,,0.028,0.62,0.0,0.0
704279,2024-08-16 19:00:00,Manchester United,360,360,370,True,1,0,69',4097,Alejandro Garnacho,43557267,,117,Alejandro Garnacho Shot Off Targ,,0.426,0.605,0.018,0.594
704279,2024-08-16 19:00:00,Fulham,370,360,370,True,1,0,70',4166,Andreas Pereira,43557271,43557271,94,Andreas Pereira Yellow Card,0,0.0,0.0,0.0,0.0
704279,2024-08-16 19:00:00,Manchester United,360,360,370,True,1,0,70',4149,Andreas Pereira,43557270,,66,Diogo Dalot Foul,,0.53,0.954,0.0,0.0
704279,2024-08-16 19:00:00,Fulham,370,360,370,True,1,0,71',4258,Adama Traoré,43557281,,135,Adama Traoré Shot Blocked,,0.382,0.488,0.346,0.484
704279,2024-08-16 19:00:00,Fulham,370,360,370,True,1,0,72',4308,Adama Traoré,43557293,,135,Adama Traoré Shot Blocked,,0.474,0.638,0.364,0.599
704279,2024-08-16 19:00:00,Fulham,370,360,370,True,1,0,73',4358,Alejandro Garnacho,43557296,,66,Tom Cairney Foul,,0.806,0.662,0.0,0.0
704279,2024-08-16 19:00:00,Manchester United,360,360,370,True,1,0,75',4458,Casemiro,43557335,,95,Casemiro Corner Kick,,0.016,0.538,0.0,0.0
704279,2024-08-16 19:00:00,Fulham,370,360,370,True,1,0,78',4670,Adama Traoré,43557372,43557372,76,Harry Wilson Substitution,0,0.0,0.0,0.0,0.0
704279,2024-08-16 19:00:00,Manchester United,360,360,370,True,1,0,79',4723,Diogo Dalot,43557376,,66,Diogo Dalot Foul,,0.85,0.374,0.0,0.0
704279,2024-08-16 19:00:00,Fulham,370,360,370,True,1,0,8',467,Adama Traoré,43556252,,117,Adama Traoré Shot Off Target,,0.266,0.722,0.0,0.555
704279,2024-08-16 19:00:00,Manchester United,360,360,370,True,1,0,80',4766,Alejandro Garnacho,43557388,,106,Bruno Fernandes Shot On Target,,0.362,0.458,0.05,0.498
704279,2024-08-16 19:00:00,Manchester United,360,360,370,True,1,0,81',4829,Harry Maguire,43557412,43557412,76,Jonny Evans Substitution,0,0.0,0.0,0.0,0.0
704279,2024-08-16 19:00:00,Manchester United,360,360,370,True,1,0,84',5016,Kobbie Mainoo,43557429,43557429,76,Scott McTominay Substitution,0,0.0,0.0,0.0,0.0
704279,2024-08-16 19:00:00,Manchester United,360,360,370,True,1,0,85',5077,Jonny Evans,43557451,,66,Jonny Evans Foul,,0.676,0.358,0.0,0.0
704279,2024-08-16 19:00:00,Manchester United,360,360,370,True,1,0,87',5206,Alejandro Garnacho,43557476,43557476,173,Joshua Zirkzee Goal - Volley,1,0.186,0.561,0.0,0.468
704279,2024-08-16 19:00:00,Manchester United,360,360,370,True,1,0,90',5376,Kenny Tete,43557511,,66,Lisandro Martínez Foul,,0.156,0.946,0.0,0.0
704279,2024-08-16 19:00:00,Fulham,370,360,370,True,1,0,90'+1',5400,Andreas Pereira,43557514,,117,Calvin Bassey Shot Off Target,,0.17,0.572,0.116,0.892
704279,2024-08-16 19:00:00,Fulham,370,360,370,True,1,0,90'+3',5400,Casemiro,43557539,,66,Jay Stansfield Foul,,0.868,0.309,0.0,0.0
704279,2024-08-16 19:00:00,Manchester United,360,360,370,True,1,0,90'+4',5400,Alejandro Garnacho,43557555,,117,Alejandro Garnacho Shot Off Targ,,0.266,0.523,0.0,0.583
704280,2024-08-17 11:30:00,Liverpool,364,373,364,False,0,2,11',612,Dominik Szoboszlai,43559572,,66,Dominik Szoboszlai Foul,,0.784,0.501,0.0,0.0
704280,2024-08-17 11:30:00,Ipswich Town,373,373,364,False,0,2,13',740,Omari Hutchinson,43559598,,66,Omari Hutchinson Foul,,0.492,0.428,0.0,0.0
704280,2024-08-17 11:30:00,Ipswich Town,373,373,364,False,0,2,14',794,Leif Davis,43559616,,66,Leif Davis Foul,,0.792,0.061,0.0,0.0
704280,2024-08-17 11:30:00,Liverpool,364,373,364,False,0,2,14',818,Mohamed Salah,43559618,,95,Mohamed Salah Corner Kick,,0.046,0.764,0.0,0.0
704280,2024-08-17 11:30:00,Liverpool,364,373,364,False,0,2,16',958,Dominik Szoboszlai,43559651,,135,Dominik Szoboszlai Shot Blocked,,0.488,0.656,0.438,0.637
704280,2024-08-17 11:30:00,Ipswich Town,373,373,364,False,0,2,17',961,Massimo Luongo,43559653,,95,Massimo Luongo Corner Kick,,0.22,0.751,0.0,0.0
704280,2024-08-17 11:30:00,Liverpool,364,373,364,False,0,2,17',1012,Luis Díaz,43559667,,66,Luis Díaz Foul,,0.51,0.392,0.0,0.0
