seasonType,year,seasonName,seasonSlug,leagueId,midsizeName,leagueName,leagueShortName
12294,2024,"2024 USL Championship, Western Conference Playoffs - Quarterfinals",western-conference-playoffs---quarterfinals,4002,USA.USL.1,USL Championship,USL Championship
12293,2024,"2024 USL Championship, Eastern Conference Playoffs - Semifinals",eastern-conference-playoffs---semifinals,4002,USA.USL.1,USL Championship,USL Championship
12291,2024,"2024 USL Championship, Eastern Conference Playoffs - Final",eastern-conference-playoffs---final,4002,USA.USL.1,USL Championship,USL Championship
12290,2024,"2024 USL Championship, Western Conference Playoffs - Final",western-conference-playoffs---final,4002,USA.USL.1,USL Championship,USL Championship
12289,2024,"2024 USL Championship, USL Championship Final",usl-championship-final,4002,USA.USL.1,USL Championship,USL Championship
12215,2024,"2024 USL League One, Regular Season",regular-season,19915,USA.USL.L1,USL League One,USL League One
12214,2024,"2024 USL League One, Playoffs - Quarterfinals",playoffs---quarterfinals,19915,USA.USL.L1,USL League One,USL League One
12213,2024,"2024 USL League One, Playoffs - Semifinals",playoffs---semifinals,19915,USA.USL.L1,USL League One,USL League One
12212,2024,"2024 USL League One, Playoffs - Final",playoffs---final,19915,USA.USL.L1,USL League One,USL League One
12331,2024,"2024 USL Jägermeister Cup, Group Stage",group-stage,22059,USA.USL.L1.CUP,USL Jägermeister Cup,USL Jägermeister Cup
12332,2024,"2024 USL Jägermeister Cup, Semifinals",semifinals,22059,USA.USL.L1.CUP,USL Jägermeister Cup,USL Jägermeister Cup
12333,2024,"2024 USL Jägermeister Cup, Final",final,22059,USA.USL.L1.CUP,USL Jägermeister Cup,USL Jägermeister Cup
12399,2024,"2024 Primera División de Venezuela, Apertura Final",apertura-final,3949,VEN.1,Venezuelan Primera División,Liga FUTVE
12991,2024,"2024 Primera División de Venezuela, Clausura Final",clausura-final,3949,VEN.1,Venezuelan Primera División,Liga FUTVE
12990,2024,"2024 Primera División de Venezuela, Clausura Semifinals",clausura-semifinals,3949,VEN.1,Venezuelan Primera División,Liga FUTVE
12401,2024,"2024 Primera División de Venezuela, Apertura",apertura,3949,VEN.1,Venezuelan Primera División,Liga FUTVE
12400,2024,"2024 Primera División de Venezuela, Apertura Semifinals",apertura-semifinals,3949,VEN.1,Venezuelan Primera División,Liga FUTVE
12847,2024,"2024 Primera División de Venezuela, Clausura",clausura,3949,VEN.1,Venezuelan Primera División,Liga FUTVE
12692,2024,"2024-25 Welsh Premier League, Second Phase",second-phase,3963,WAL.1,Welsh Premier League,Welsh Premier League
12693,2024,"2024-25 Welsh Premier League, Regular Season",regular-season,3963,WAL.1,Welsh Premier League,Welsh Premier League
12622,2024,2024-25 Zambian Super League,2024-25-zambian-super-league,11090,ZAM.1,Zambian Super League,ZAM
12467,2024,Zimbabwe Premier League - Regular Season,zimbabwe-premier-league---regular-season,11067,ZIM.1,Zimbabwean Premier Soccer League,Zimbabwean Premiership
